record_id,person_id,name,alias,dob,prior_offences,gang_affiliation,known_address,ground_truth_flag
UP-CRIM-0011,UP00011,Chhotu Gupta,,1998-11-20,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"40, Near Indirapuram PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0012,UP00012,Akhilesh Nagar,,1989-01-07,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"78, Near Hazratganj PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0013,UP00013,Satish Siddiqui,,1981-05-14,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-East-Ring,"208, Near Nauchandi PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0014,UP00014,Bablu Bind,,1991-10-28,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"129, Near Etmadpur PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0015,UP00015,Amit Tyagi,,1977-10-19,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-Central-Ring,"239, Near Cantt PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0016,UP00016,Sonu Tiwari,,1977-12-05,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"162, Near Cantt PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0017,UP00017,Dharmendra Yadav,,1979-12-22,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"39, Near Izzatnagar PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0018,UP00018,Pankaj Siddiqui,,1983-03-17,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"209, Near Civil Lines PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0019,UP00019,Tariq Gautam,,1998-09-24,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"124, Near Collectorganj PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0020,UP00020,Santosh Gurjar,,1980-05-03,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-West-Ring,"71, Near Cantt PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0021,UP00021,Mahesh Qureshi,,1990-07-21,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"177, Near George Town PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0022,UP00022,Rizwan Nagar,,1976-07-17,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"65, Near Sector 20 PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0023,UP00023,Sanjay Jaiswal,,1978-05-09,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"117, Near Kotwali PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0024,UP00024,Deepak Gautam,,1990-06-19,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"85, Near Hari Parbat PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0025,UP00025,Dhananjay Pal,,1982-01-18,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-East-Ring,"125, Near Partapur PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0026,UP00026,Rajesh Shukla,,1995-09-04,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"57, Near Shahganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0027,UP00027,Vikram Singh,,2001-01-21,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"106, Near Kotwali PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0028,UP00028,Akhilesh Kushwaha,,1980-07-23,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"171, Near Cantt PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0029,UP00029,Ramesh Gautam,,1989-02-15,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"27, Near Chakeri PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0030,UP00030,Ramesh Maurya,,1997-05-19,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"222, Near Kotwali PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0031,UP00031,Imran Tomar,,1984-10-17,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-East-Ring,"21, Near Indirapuram PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0032,UP00032,Babloo Tomar,,1980-05-18,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-West-Ring,"143, Near Ayodhya Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0033,UP00033,Aslam Tomar,,1989-01-07,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"78, Near Sahibabad PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0034,UP00034,Satish Jaiswal,Satish Jaiswal @ Raja,1975-07-23,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"199, Near Sigra PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0035,UP00035,Rizwan Nagar,,1981-05-28,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"120, Near Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0036,UP00036,Amit Kushwaha,,1982-11-27,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"234, Near Civil Lines PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0037,UP00037,Sunil Gautam,,1990-02-13,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"198, Near Collectorganj PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0038,UP00038,Sunil Tiwari,,1998-01-27,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"162, Near Nawabad PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0039,UP00039,Deepak Bind,,1995-10-06,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"166, Near Kotwali PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0040,UP00040,Rizwan Mishra,,1990-09-20,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"38, Near Izzatnagar PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0041,UP00041,Neeraj Pal,Neeraj Pal @ Bhaiya,1993-03-16,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-West-Ring,"200, Near Chinhat PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0042,UP00042,Brijesh Tripathi,,1981-02-02,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"72, Near Sadar Bazar PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0043,UP00043,Bablu Singh,,1981-12-21,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-East-Ring,"63, Near Kotwali PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0044,UP00044,Mahesh Pandey,Mahesh Pandey @ Contractor,1981-03-02,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"241, Near Rakabganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0045,UP00045,Tariq Tiwari,,1992-10-27,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-Central-Ring,"54, Near Izzatnagar PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0046,UP00046,Rajesh Dubey,,1993-10-07,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"67, Near Hazratganj PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0047,UP00047,Chhotu Tripathi,,1987-01-22,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"65, Near Chetganj PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0048,UP00048,Imran Maurya,Imran Maurya @ Pandit,1987-05-01,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"129, Near Kotwali PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0049,UP00049,Virendra Tyagi,Virendra Tyagi @ Vakil,2002-04-09,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"92, Near Surajpur PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0050,UP00050,Akhilesh Rawat,,1985-07-16,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-West-Ring,"57, Near Civil Lines PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0051,UP00051,Suresh Dubey,,1988-07-07,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"113, Near Brahmpuri PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0052,UP00052,Amit Yadav,,1986-01-03,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-East-Ring,"51, Near Dhoomanganj PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0053,UP00053,Rajesh Chauhan,Rajesh Chauhan @ Chacha,1988-11-10,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"109, Near Sahibabad PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0054,UP00054,Sonu Chaudhary,,1982-06-05,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-Central-Ring,"247, Near Nauchandi PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0055,UP00055,Pappu Pandey,,1996-08-16,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"153, Near Shahpur PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0056,UP00056,Ajay Jaiswal,,1989-11-03,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-West-Ring,"44, Near Cantt PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0057,UP00057,Akhilesh Chauhan,Akhilesh Chauhan @ Pahalwan,1993-01-08,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-Central-Ring,"218, Near Chinhat PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0058,UP00058,Suresh Jaiswal,,1997-01-22,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"14, Near Katra PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0059,UP00059,Aslam Chauhan,,1984-05-12,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-West-Ring,"90, Near Chetganj PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0060,UP00060,Gufran Khan,,1998-06-27,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"243, Near Ayodhya Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0061,UP00061,Sonu Khan,,1986-10-06,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-East-Ring,"169, Near Partapur PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0062,UP00062,Manoj Chauhan,,1984-11-20,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"137, Near Baradari PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0063,UP00063,Sanjay Pandey,,1993-06-11,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-Central-Ring,"250, Near Ayodhya Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0064,UP00064,Alok Nagar,,1987-06-05,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"130, Near Gorakhnath PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0065,UP00065,Munna Srivastav,,2003-01-11,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"39, Near Kotwali PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0066,UP00066,Sanjay Nishad,,2000-08-19,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"41, Near Dashashwamedh PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0067,UP00067,Rakesh Mishra,,1985-07-20,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"84, Near Shahganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0068,UP00068,Mahesh Tomar,,1999-04-04,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-West-Ring,"118, Near Kotwali PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0069,UP00069,Pramod Yadav,,1975-03-19,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-Central-Ring,"23, Near Dashashwamedh PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0070,UP00070,Pankaj Tiwari,,1997-07-21,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"162, Near Nauchandi PS, Meerut, Uttar Pradesh",core_gang
UP-CRIM-0071,UP00071,Babloo Chauhan,,1975-04-08,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"92, Near Naini PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0072,UP00072,Chhotu Nagar,,1985-08-03,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"141, Near Raunahi PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0073,UP00073,Akhilesh Khan,,1989-02-11,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"98, Near Kalyanpur PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0074,UP00074,Rajesh Tripathi,Rajesh Tripathi @ Don,2003-10-22,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-West-Ring,"209, Near Sihani Gate PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0075,UP00075,Anil Chauhan,,1982-10-18,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"240, Near Sahibabad PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0076,UP00076,Mahesh Mishra,,2001-07-14,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"149, Near Barra PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0077,UP00077,Suresh Khan,Suresh Khan @ Urf Chhotu,1999-03-10,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"111, Near Sihani Gate PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0078,UP00078,Rizwan Gurjar,,2002-03-18,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"213, Near Raunahi PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0079,UP00079,Pramod Gautam,,1987-05-25,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"178, Near Prem Nagar PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0080,UP00080,Ramesh Verma,,1988-10-09,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"200, Near Hazratganj PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0081,UP00081,Manoj Siddiqui,Manoj Siddiqui @ Chacha,1996-01-06,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-Central-Ring,"227, Near Chinhat PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0082,UP00082,Ramesh Pandey,,1996-04-17,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-East-Ring,"37, Near Ayodhya Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0083,UP00083,Anil Mishra,,1984-06-14,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-West-Ring,"64, Near Tiwaripur PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0084,UP00084,Guddu Nishad,,1983-05-19,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"125, Near Izzatnagar PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0085,UP00085,Munna Verma,,2001-05-26,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-East-Ring,"139, Near Baradari PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0086,UP00086,Guddu Srivastav,,1987-11-20,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-West-Ring,"189, Near Gomti Nagar PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0087,UP00087,Alok Tyagi,,1975-05-17,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"111, Near Cantt PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0088,UP00088,Pankaj Tomar,,1990-05-24,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-East-Ring,"127, Near Dashashwamedh PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0089,UP00089,Santosh Siddiqui,Santosh Siddiqui @ Netaji,1983-06-02,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"102, Near Surajpur PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0090,UP00090,Mukhtar Dubey,,1975-08-28,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"89, Near Barra PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0091,UP00091,Rakesh Pal,,1990-08-11,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-East-Ring,"39, Near Tiwaripur PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0092,UP00092,Vikram Rawat,,1980-12-24,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-West-Ring,"52, Near Cantt PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0093,UP00093,Abhay Nishad,Abhay Nishad @ Fauji,1991-07-15,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"67, Near Civil Lines PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0094,UP00094,Dharmendra Shukla,,2002-10-02,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-East-Ring,"31, Near Cantt PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0095,UP00095,Akhilesh Tomar,,1986-12-15,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"246, Near Tajganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0096,UP00096,Chhotu Dubey,,2000-08-12,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-Central-Ring,"248, Near Sector 39 PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0097,UP00097,Atiq Pandey,Atiq Pandey @ Don,2001-02-01,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"25, Near Phase 2 PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0098,UP00098,Sonu Qureshi,,1979-10-19,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"112, Near Kotwali PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0099,UP00099,Alok Tomar,,2000-04-14,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"93, Near Kavi Nagar PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0100,UP00100,Rakesh Srivastav,,1989-07-13,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-East-Ring,"55, Near Sector 20 PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0101,UP00101,Abhay Ansari,,1985-03-02,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-West-Ring,"213, Near Etmadpur PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0102,UP00102,Deepak Gautam,,1980-01-22,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-Central-Ring,"234, Near Cantt PS, Gorakhpur, Uttar Pradesh",core_gang
UP-CRIM-0103,UP00103,Mukhtar Tripathi,,2003-11-13,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-East-Ring,"64, Near Gomti Nagar PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0104,UP00104,Alok Nagar,Alok Nagar @ Fauji,1983-02-07,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-West-Ring,"156, Near Cantt PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0105,UP00105,Rizwan Tiwari,,1986-11-16,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-Central-Ring,"250, Near Hazratganj PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0106,UP00106,Mahesh Chauhan,,1989-03-19,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-East-Ring,"25, Near Hari Parbat PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0107,UP00107,Ravindra Jaiswal,Ravindra Jaiswal @ Pandit,1995-06-19,2022 - NDPS Act Sec 8/20/21; 2023 - UP Gangsters Act,UP-West-Ring,"133, Near Govind Nagar PS, Kanpur Nagar, Uttar Pradesh",core_gang
UP-CRIM-0108,UP00108,Deepak Pandey,,1981-04-18,2022 - Sec 2/3 UP Gangsters Act 1986; 2023 - UP Gangsters Act,UP-Central-Ring,"195, Near Naini PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0109,UP00109,Satish Ansari,,1984-12-08,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"21, Near Naini PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0110,UP00110,Manoj Khan,,1998-06-28,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"166, Near Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0111,UP00111,Deepak Yadav,,1994-09-11,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-Central-Ring,"24, Near Prem Nagar PS, Jhansi, Uttar Pradesh",core_gang
UP-CRIM-0112,UP00112,Sunil Srivastav,,1977-03-13,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-East-Ring,"14, Near Alambagh PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0113,UP00113,Imran Siddiqui,Imran Siddiqui @ Babu,1999-09-24,2022 - IPC 420/467/468 (Cheating & Forgery); 2023 - UP Gangsters Act,UP-West-Ring,"14, Near Ayodhya Kotwali PS, Ayodhya, Uttar Pradesh",core_gang
UP-CRIM-0114,UP00114,Atiq Chaudhary,,1985-01-21,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-Central-Ring,"12, Near Kavi Nagar PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0115,UP00115,Virendra Tripathi,,1984-09-13,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-East-Ring,"208, Near Tajganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0116,UP00116,Tariq Gautam,,1997-05-02,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"95, Near Kotwali PS, Kanpur Nagar, Uttar Pradesh",core_gang
