fir_id,date,day,station,location,ipc_sections,narrative,ground_truth_flag
UP-FIR-0011,2024-07-09,191,Chinhat PS,"Chinhat PS, Lucknow",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0011/2024 registered at Chinhat PS, Lucknow. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Sonu Mishra, Atiq Pal were identified operating in jurisdiction of Lucknow. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9125000334",local_crime
UP-FIR-0012,2024-06-18,170,Sihani Gate PS,"Sihani Gate PS, Ghaziabad",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0012/2024 registered at Sihani Gate PS, Ghaziabad. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Rakesh Shukla, Gufran Yadav were identified operating in jurisdiction of Ghaziabad. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 9450001588",local_crime
UP-FIR-0013,2024-02-16,47,Etmadpur PS,"Etmadpur PS, Agra",NDPS Act Sec 8/20/21,"Case Crime No. 0013/2024 registered at Etmadpur PS, Agra. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Munna Singh were identified operating in jurisdiction of Agra. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 7007000839 operating vehicle registration UP-93-LM-4366.",local_crime
UP-FIR-0014,2024-01-14,14,Kotwali PS,"Kotwali PS, Ghaziabad",NDPS Act Sec 8/20/21,"Case Crime No. 0014/2024 registered at Kotwali PS, Ghaziabad. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Dhananjay Srivastav were identified operating in jurisdiction of Ghaziabad. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 7500000723",local_crime
UP-FIR-0015,2024-04-08,99,Hazratganj PS,"Hazratganj PS, Lucknow",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0015/2024 registered at Hazratganj PS, Lucknow. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Sanjay Chauhan were identified operating in jurisdiction of Lucknow. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 7500000564 operating vehicle registration UP-25-TZ-9690.",local_crime
UP-FIR-0016,2024-07-30,212,Bhelupur PS,"Bhelupur PS, Varanasi",NDPS Act Sec 8/20/21,"Case Crime No. 0016/2024 registered at Bhelupur PS, Varanasi. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Rajesh Gurjar, Sanjay Nishad, Bablu Chauhan were identified operating in jurisdiction of Varanasi. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 8006000769",local_crime
UP-FIR-0017,2024-08-16,229,Nauchandi PS,"Nauchandi PS, Meerut",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0017/2024 registered at Nauchandi PS, Meerut. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Dhananjay Rajput, Munna Yadav, Deepak Tiwari were identified operating in jurisdiction of Meerut. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 8840000838 operating vehicle registration UP-65-RS-4349.",local_crime
UP-FIR-0018,2024-01-08,8,Chowk PS,"Chowk PS, Lucknow",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0018/2024 registered at Chowk PS, Lucknow. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Sanjay Khan, Ramesh Pandey were identified operating in jurisdiction of Lucknow. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 9719001960",local_crime
UP-FIR-0019,2024-03-08,68,Hazratganj PS,"Hazratganj PS, Lucknow",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0019/2024 registered at Hazratganj PS, Lucknow. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Alok Qureshi were identified operating in jurisdiction of Lucknow. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9415000602",local_crime
UP-FIR-0020,2024-06-25,177,Shahpur PS,"Shahpur PS, Gorakhpur",IPC 302 / BNS 103 (Murder),"Case Crime No. 0020/2024 registered at Shahpur PS, Gorakhpur. Charges under IPC 302 / BNS 103 (Murder). Sub-Inspector report states that accused Mukhtar Qureshi were identified operating in jurisdiction of Gorakhpur. Armed shootout outside court premises resulting in fatal casualty. Primary accused tracked using mobile 7500000986 operating vehicle registration UP-25-GH-6865.",local_crime
UP-FIR-0021,2024-03-09,69,Naini PS,"Naini PS, Prayagraj",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0021/2024 registered at Naini PS, Prayagraj. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Ajay Kushwaha, Babloo Singh were identified operating in jurisdiction of Prayagraj. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 8840001526 operating vehicle registration UP-42-NP-6046.",local_crime
UP-FIR-0022,2024-04-09,100,Shahganj PS,"Shahganj PS, Agra",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0022/2024 registered at Shahganj PS, Agra. Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Sunil Chauhan, Guddu Verma, Guddu Chauhan were identified operating in jurisdiction of Agra. Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9839000558 operating vehicle registration UP-93-EF-9588.",local_crime
UP-FIR-0023,2024-01-06,6,Prem Nagar PS,"Prem Nagar PS, Bareilly",IPC 302 / BNS 103 (Murder),"Case Crime No. 0023/2024 registered at Prem Nagar PS, Bareilly. Charges under IPC 302 / BNS 103 (Murder). Sub-Inspector report states that accused Munna Chauhan, Atiq Chauhan were identified operating in jurisdiction of Bareilly. Armed shootout outside court premises resulting in fatal casualty. Primary accused tracked using mobile 9125001023 operating vehicle registration UP-93-GH-7494.",local_crime
UP-FIR-0024,2024-03-16,76,Hazratganj PS,"Hazratganj PS, Lucknow",Arms Act Sec 25/27,"Case Crime No. 0024/2024 registered at Hazratganj PS, Lucknow. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Akhilesh Mishra were identified operating in jurisdiction of Lucknow. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 9450000421",local_crime
UP-FIR-0025,2024-01-19,19,Lisari Gate PS,"Lisari Gate PS, Meerut",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0025/2024 registered at Lisari Gate PS, Meerut. Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Mahesh Tomar, Sanjay Pandey, Pankaj Tiwari were identified operating in jurisdiction of Meerut. Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9450000068",syndicate
UP-FIR-0026,2024-01-10,10,Kalyanpur PS,"Kalyanpur PS, Kanpur Nagar",Arms Act Sec 25/27,"Case Crime No. 0026/2024 registered at Kalyanpur PS, Kanpur Nagar. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Alok Gautam were identified operating in jurisdiction of Kanpur Nagar. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 9415000997 operating vehicle registration UP-53-NP-7052.",local_crime
UP-FIR-0027,2024-08-02,215,Gomti Nagar PS,"Gomti Nagar PS, Lucknow",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0027/2024 registered at Gomti Nagar PS, Lucknow. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Pankaj Rajput, Neeraj Ansari, Guddu Maurya were identified operating in jurisdiction of Lucknow. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 9927000662",local_crime
UP-FIR-0028,2024-08-25,238,Sipri Bazar PS,"Sipri Bazar PS, Jhansi",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0028/2024 registered at Sipri Bazar PS, Jhansi. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Suresh Maurya, Anil Chauhan, Sonu Mishra were identified operating in jurisdiction of Jhansi. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 8840001116",local_crime
UP-FIR-0029,2024-03-09,69,Kavi Nagar PS,"Kavi Nagar PS, Ghaziabad",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0029/2024 registered at Kavi Nagar PS, Ghaziabad. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Neeraj Rajput, Alok Nagar, Babloo Tomar were identified operating in jurisdiction of Ghaziabad. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 9839001297 operating vehicle registration UP-53-AB-2153.",local_crime
UP-FIR-0030,2024-05-06,127,Dhoomanganj PS,"Dhoomanganj PS, Prayagraj",Arms Act Sec 25/27,"Case Crime No. 0030/2024 registered at Dhoomanganj PS, Prayagraj. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Pappu Rawat, Ajay Pandey, Chhotu Verma were identified operating in jurisdiction of Prayagraj. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 9125000615 operating vehicle registration UP-93-AB-0558.",local_crime
UP-FIR-0031,2024-07-24,206,Kotwali PS,"Kotwali PS, Bareilly",IPC 302 / BNS 103 (Murder),"Case Crime No. 0031/2024 registered at Kotwali PS, Bareilly. Charges under IPC 302 / BNS 103 (Murder). Sub-Inspector report states that accused Mukhtar Maurya, Sanjay Nishad, Gufran Yadav were identified operating in jurisdiction of Bareilly. Armed shootout outside court premises resulting in fatal casualty. Primary accused tracked using mobile 9837000763",local_crime
UP-FIR-0032,2024-01-16,16,Chetganj PS,"Chetganj PS, Varanasi",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0032/2024 registered at Chetganj PS, Varanasi. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Pramod Yadav, Dhananjay Rawat were identified operating in jurisdiction of Varanasi. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 9839000342 operating vehicle registration UP-65-JK-5916.",local_crime
UP-FIR-0033,2024-03-26,86,Etmadpur PS,"Etmadpur PS, Agra",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0033/2024 registered at Etmadpur PS, Agra. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Pappu Gurjar, Ajay Qureshi, Ramesh Pal were identified operating in jurisdiction of Agra. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9125000816",local_crime
UP-FIR-0034,2024-03-04,64,Barra PS,"Barra PS, Kanpur Nagar",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0034/2024 registered at Barra PS, Kanpur Nagar. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Neeraj Pal, Imran Nishad were identified operating in jurisdiction of Kanpur Nagar. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 8006000656 operating vehicle registration UP-14-GH-1255.",local_crime
UP-FIR-0035,2024-04-07,98,Sector 24 PS,"Sector 24 PS, Gautam Buddha Nagar (Noida)",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0035/2024 registered at Sector 24 PS, Gautam Buddha Nagar (Noida). Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Dharmendra Ansari were identified operating in jurisdiction of Gautam Buddha Nagar (Noida). Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9415000349",local_crime
UP-FIR-0036,2024-08-07,220,Sector 20 PS,"Sector 20 PS, Gautam Buddha Nagar (Noida)",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0036/2024 registered at Sector 20 PS, Gautam Buddha Nagar (Noida). Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Brijesh Bind, Dhananjay Rawat, Bablu Rajput were identified operating in jurisdiction of Gautam Buddha Nagar (Noida). Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 9450000785 operating vehicle registration UP-78-TZ-3448.",local_crime
UP-FIR-0037,2024-05-11,132,Kotwali PS,"Kotwali PS, Ayodhya",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0037/2024 registered at Kotwali PS, Ayodhya. Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Tariq Jaiswal were identified operating in jurisdiction of Ayodhya. Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9450001989",local_crime
UP-FIR-0038,2024-01-23,23,Raunahi PS,"Raunahi PS, Ayodhya",IPC 302 / BNS 103 (Murder),"Case Crime No. 0038/2024 registered at Raunahi PS, Ayodhya. Charges under IPC 302 / BNS 103 (Murder). Sub-Inspector report states that accused Rakesh Verma, Bablu Pandey were identified operating in jurisdiction of Ayodhya. Armed shootout outside court premises resulting in fatal casualty. Primary accused tracked using mobile 7500000739",local_crime
UP-FIR-0039,2024-01-26,26,Kotwali PS,"Kotwali PS, Gorakhpur",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0039/2024 registered at Kotwali PS, Gorakhpur. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Babloo Chauhan, Satish Pal, Aslam Shukla were identified operating in jurisdiction of Gorakhpur. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9719001885 operating vehicle registration UP-14-GH-2150.",local_crime
UP-FIR-0040,2024-08-15,228,Bhelupur PS,"Bhelupur PS, Varanasi",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0040/2024 registered at Bhelupur PS, Varanasi. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Chhotu Dubey were identified operating in jurisdiction of Varanasi. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9412002010",local_crime
UP-FIR-0041,2024-06-03,155,Ayodhya Kotwali PS,"Ayodhya Kotwali PS, Ayodhya",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0041/2024 registered at Ayodhya Kotwali PS, Ayodhya. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Neeraj Kushwaha were identified operating in jurisdiction of Ayodhya. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 7007001521 operating vehicle registration UP-93-GH-5961.",local_crime
UP-FIR-0042,2024-07-19,201,Gorakhnath PS,"Gorakhnath PS, Gorakhpur",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0042/2024 registered at Gorakhnath PS, Gorakhpur. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Pankaj Srivastav, Dhananjay Rawat were identified operating in jurisdiction of Gorakhpur. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 9839000335",local_crime
UP-FIR-0043,2024-02-18,49,Shahpur PS,"Shahpur PS, Gorakhpur",NDPS Act Sec 8/20/21,"Case Crime No. 0043/2024 registered at Shahpur PS, Gorakhpur. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Anil Srivastav were identified operating in jurisdiction of Gorakhpur. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 9415000555",local_crime
UP-FIR-0044,2024-01-12,12,Ayodhya Kotwali PS,"Ayodhya Kotwali PS, Ayodhya",NDPS Act Sec 8/20/21,"Case Crime No. 0044/2024 registered at Ayodhya Kotwali PS, Ayodhya. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Ajay Tripathi, Alok Nagar, Amit Shukla were identified operating in jurisdiction of Ayodhya. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 9837001295",local_crime
UP-FIR-0045,2024-02-01,32,Cantt PS,"Cantt PS, Ayodhya",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0045/2024 registered at Cantt PS, Ayodhya. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Virendra Qureshi, Satish Maurya, Rakesh Gupta were identified operating in jurisdiction of Ayodhya. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 7500001639",local_crime
UP-FIR-0046,2024-04-24,115,Chinhat PS,"Chinhat PS, Lucknow",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0046/2024 registered at Chinhat PS, Lucknow. Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Pankaj Tiwari, Sonu Gautam, Abhay Khan were identified operating in jurisdiction of Lucknow. Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9927000983",local_crime
UP-FIR-0047,2024-02-21,52,Indirapuram PS,"Indirapuram PS, Ghaziabad",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0047/2024 registered at Indirapuram PS, Ghaziabad. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Brijesh Srivastav were identified operating in jurisdiction of Ghaziabad. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9839000434 operating vehicle registration UP-65-JK-7480.",local_crime
UP-FIR-0048,2024-07-28,210,Subhash Nagar PS,"Subhash Nagar PS, Bareilly",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0048/2024 registered at Subhash Nagar PS, Bareilly. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Dhananjay Khan were identified operating in jurisdiction of Bareilly. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9450000687",local_crime
UP-FIR-0049,2024-02-10,41,Naini PS,"Naini PS, Prayagraj",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0049/2024 registered at Naini PS, Prayagraj. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Manoj Bind, Sonu Dubey, Suresh Shukla were identified operating in jurisdiction of Prayagraj. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 9415001258",local_crime
UP-FIR-0050,2024-03-16,76,Raunahi PS,"Raunahi PS, Ayodhya",Arms Act Sec 25/27,"Case Crime No. 0050/2024 registered at Raunahi PS, Ayodhya. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Guddu Ansari, Ravindra Maurya were identified operating in jurisdiction of Ayodhya. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 9415001910 operating vehicle registration UP-53-NP-2575.",local_crime
UP-FIR-0051,2024-04-08,99,Collectorganj PS,"Collectorganj PS, Kanpur Nagar",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0051/2024 registered at Collectorganj PS, Kanpur Nagar. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Ravindra Chaudhary, Vikram Khan, Tariq Rajput were identified operating in jurisdiction of Kanpur Nagar. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 8006001448",local_crime
UP-FIR-0052,2024-02-07,38,Phase 2 PS,"Phase 2 PS, Gautam Buddha Nagar (Noida)",NDPS Act Sec 8/20/21,"Case Crime No. 0052/2024 registered at Phase 2 PS, Gautam Buddha Nagar (Noida). Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Vikram Shukla, Atiq Mishra, Mukhtar Bind were identified operating in jurisdiction of Gautam Buddha Nagar (Noida). Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 8006001251",local_crime
UP-FIR-0053,2024-05-16,137,Prem Nagar PS,"Prem Nagar PS, Bareilly",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0053/2024 registered at Prem Nagar PS, Bareilly. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Suresh Pandey, Dhananjay Kushwaha were identified operating in jurisdiction of Bareilly. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 8006000527",local_crime
UP-FIR-0054,2024-05-28,149,Katra PS,"Katra PS, Prayagraj",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0054/2024 registered at Katra PS, Prayagraj. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Gufran Khan, Munna Rajput were identified operating in jurisdiction of Prayagraj. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 7500000266 operating vehicle registration UP-80-NP-4624.",local_crime
UP-FIR-0055,2024-08-17,230,Shahpur PS,"Shahpur PS, Gorakhpur",NDPS Act Sec 8/20/21,"Case Crime No. 0055/2024 registered at Shahpur PS, Gorakhpur. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Gufran Tomar, Aslam Gautam, Atiq Nagar were identified operating in jurisdiction of Gorakhpur. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 9415001564 operating vehicle registration UP-53-LM-6692.",local_crime
UP-FIR-0056,2024-04-04,95,Kotwali PS,"Kotwali PS, Ayodhya",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0056/2024 registered at Kotwali PS, Ayodhya. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Babloo Gautam, Dharmendra Gautam, Abhay Yadav were identified operating in jurisdiction of Ayodhya. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 9927000278 operating vehicle registration UP-15-EF-4828.",local_crime
UP-FIR-0057,2024-05-02,123,Sigra PS,"Sigra PS, Varanasi",NDPS Act Sec 8/20/21,"Case Crime No. 0057/2024 registered at Sigra PS, Varanasi. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Imran Srivastav were identified operating in jurisdiction of Varanasi. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 9412000404 operating vehicle registration UP-15-AB-6970.",local_crime
UP-FIR-0058,2024-06-25,177,Sihani Gate PS,"Sihani Gate PS, Ghaziabad",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0058/2024 registered at Sihani Gate PS, Ghaziabad. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Akhilesh Khan were identified operating in jurisdiction of Ghaziabad. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 9415000073",syndicate
UP-FIR-0059,2024-05-07,128,Dhoomanganj PS,"Dhoomanganj PS, Prayagraj",Arms Act Sec 25/27,"Case Crime No. 0059/2024 registered at Dhoomanganj PS, Prayagraj. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Dhananjay Ansari, Ajay Verma, Ajay Siddiqui were identified operating in jurisdiction of Prayagraj. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 7007001435",local_crime
