call_id,caller_id,caller_name,caller_phone,callee_id,callee_name,callee_phone,timestamp,day,call_type,duration_sec,cell_tower_location
UP-CDR-000032,UP00444,Virendra Mishra,7500000444,UP00225,Abhay Tripathi,9450000225,2024-01-05 18:56:16,5,voice,921,"Tiwaripur PS Tower, Gorakhpur"
UP-CDR-000033,UP00390,Guddu Siddiqui,8840000390,UP00354,Akhilesh Rajput,8840000354,2024-04-24 03:56:30,115,voice,623,"Dashashwamedh PS Tower, Varanasi"
UP-CDR-000034,UP00311,Babloo Ansari,9412000311,UP00192,Gufran Chauhan,9839000192,2024-08-06 09:07:10,219,voice,245,"Prem Nagar PS Tower, Bareilly"
UP-CDR-000035,UP00017,Dharmendra Yadav,7500000017,UP00044,Mahesh Pandey,9719000044,2024-02-25 22:53:25,56,voice,1143,"Kavi Nagar PS Tower, Ghaziabad"
UP-CDR-000036,UP00286,Abhay Jaiswal,9837000286,UP00366,Mukhtar Tripathi,9719000366,2024-05-07 21:46:11,128,sms,850,"Phase 2 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000037,UP00479,Manoj Singh,9415000479,UP00457,Dharmendra Gupta,9837000457,2024-05-17 22:34:52,138,sms,83,"Tajganj PS Tower, Agra"
UP-CDR-000038,UP01958,Imran Maurya,9450001958,UP00718,Rajesh Gautam,9839000718,2024-06-17 09:03:08,169,voice,99,"Cantt PS Tower, Gorakhpur"
UP-CDR-000039,UP00026,Rajesh Shukla,9412000026,UP00056,Ajay Jaiswal,9839000056,2024-03-28 17:20:04,88,sms,853,"Cantt PS Tower, Ayodhya"
UP-CDR-000040,UP00172,Sonu Chauhan,8840000172,UP00127,Akhilesh Pandey,9125000127,2024-06-15 18:30:24,167,voice,581,"Tiwaripur PS Tower, Gorakhpur"
UP-CDR-000041,UP00018,Pankaj Siddiqui,7500000018,UP00200,Sonu Khan,9837000200,2024-07-16 22:33:15,198,sms,514,"Etmadpur PS Tower, Agra"
UP-CDR-000042,UP02970,Gufran Rawat,9839002970,UP01953,Dhananjay Bind,9450001953,2024-03-22 02:21:10,82,voice,70,"Kotwali PS Tower, Bareilly"
UP-CDR-000043,UP00371,Rizwan Pandey,9412000371,UP00091,Rakesh Pal,9125000091,2024-04-20 03:25:11,111,voice,325,"Nawabad PS Tower, Jhansi"
UP-CDR-000044,UP00359,Atiq Qureshi,9412000359,UP00201,Chhotu Maurya,9839000201,2024-07-09 12:12:33,191,voice,481,"Sadar Bazar PS Tower, Meerut"
UP-CDR-000045,UP00457,Dharmendra Gupta,9837000457,UP00500,Vikram Gurjar,8840000500,2024-08-19 18:21:59,232,voice,723,"Sipri Bazar PS Tower, Jhansi"
UP-CDR-000046,UP00775,Deepak Rajput,7500000775,UP01682,Pankaj Tomar,9839001682,2024-05-14 10:30:06,135,voice,716,"Rakabganj PS Tower, Agra"
UP-CDR-000047,UP00626,Rakesh Srivastav,8006000626,UP02135,Ajay Chauhan,7007002135,2024-03-17 12:00:57,77,voice,298,"Kotwali PS Tower, Kanpur Nagar"
UP-CDR-000048,UP01658,Rajesh Khan,8006001658,UP01346,Santosh Chaudhary,9839001346,2024-08-25 13:57:45,238,sms,506,"Sadar Bazar PS Tower, Meerut"
UP-CDR-000049,UP00151,Dharmendra Nishad,8840000151,UP00767,Gufran Yadav,9927000767,2024-06-03 18:00:17,155,voice,960,"Civil Lines PS Tower, Prayagraj"
UP-CDR-000050,UP00163,Rakesh Dubey,8840000163,UP00508,Babloo Maurya,7007000508,2024-03-20 02:43:42,80,voice,188,"Tajganj PS Tower, Agra"
UP-CDR-000051,UP00572,Rakesh Ansari,9450000572,UP00408,Mahesh Mishra,8006000408,2024-03-03 18:39:07,63,voice,410,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000052,UP00347,Babloo Tripathi,8006000347,UP00303,Ravindra Chaudhary,9412000303,2024-02-20 10:20:21,51,voice,977,"Sector 24 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000053,UP00310,Sanjay Dubey,7500000310,UP00300,Aslam Dubey,9125000300,2024-08-17 06:08:13,230,voice,304,"Sikandra PS Tower, Agra"
UP-CDR-000054,UP00342,Pramod Yadav,9839000342,UP00233,Pappu Tripathi,9839000233,2024-04-26 22:10:21,117,sms,840,"Cantt PS Tower, Ayodhya"
UP-CDR-000055,UP00175,Munna Rajput,7500000175,UP00480,Rakesh Nishad,9839000480,2024-03-02 00:22:34,62,voice,893,"Prem Nagar PS Tower, Bareilly"
UP-CDR-000056,UP01715,Guddu Ansari,8840001715,UP01138,Mahesh Khan,9837001138,2024-08-20 23:07:29,233,voice,226,"George Town PS Tower, Prayagraj"
UP-CDR-000057,UP00196,Gufran Jaiswal,8006000196,UP00553,Pramod Chaudhary,9839000553,2024-06-07 16:40:50,159,voice,1133,"Kotwali PS Tower, Gorakhpur"
UP-CDR-000058,UP00596,Neeraj Shukla,9415000596,UP00114,Atiq Chaudhary,7500000114,2024-03-13 03:22:25,73,voice,746,"Civil Lines PS Tower, Prayagraj"
UP-CDR-000059,UP01197,Rizwan Gupta,9837001197,UP00225,Abhay Tripathi,9450000225,2024-06-17 05:38:25,169,voice,948,"Civil Lines PS Tower, Meerut"
UP-CDR-000060,UP00512,Dhananjay Srivastav,9412000512,UP00354,Akhilesh Rajput,8840000354,2024-07-26 05:20:57,208,voice,950,"Civil Lines PS Tower, Prayagraj"
UP-CDR-000061,UP00595,Aslam Maurya,8840000595,UP00381,Chhotu Gurjar,7007000381,2024-04-22 23:28:46,113,voice,158,"Sahibabad PS Tower, Ghaziabad"
UP-CDR-000062,UP01896,Atiq Tripathi,9450001896,UP00158,Rakesh Pal,9125000158,2024-01-16 22:54:45,16,voice,1062,"Hari Parbat PS Tower, Agra"
UP-CDR-000063,UP00554,Satish Rawat,9415000554,UP00512,Dhananjay Srivastav,9412000512,2024-03-07 17:16:41,67,voice,984,"Nawabad PS Tower, Jhansi"
UP-CDR-000064,UP00274,Ajay Singh,9412000274,UP00038,Sunil Tiwari,9415000038,2024-07-17 02:16:03,199,sms,1071,"Sector 20 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000065,UP01813,Alok Khan,9125001813,UP00288,Bablu Qureshi,9719000288,2024-08-02 13:18:00,215,voice,303,"Sigra PS Tower, Varanasi"
UP-CDR-000066,UP00457,Dharmendra Gupta,9837000457,UP00508,Babloo Maurya,7007000508,2024-01-21 21:16:27,21,voice,468,"Collectorganj PS Tower, Kanpur Nagar"
UP-CDR-000067,UP00157,Imran Singh,9125000157,UP00452,Imran Nagar,7007000452,2024-03-01 14:40:54,61,sms,1091,"Kotwali PS Tower, Bareilly"
UP-CDR-000068,UP00437,Satish Verma,7007000437,UP00517,Gufran Bind,9719000517,2024-08-25 19:58:03,238,voice,449,"Kotwali PS Tower, Ayodhya"
UP-CDR-000069,UP00068,Mahesh Tomar,9450000068,UP00062,Manoj Chauhan,7500000062,2024-06-07 09:17:09,159,voice,1041,"Nauchandi PS Tower, Meerut"
UP-CDR-000070,UP00187,Rakesh Mishra,9927000187,UP00444,Virendra Mishra,7500000444,2024-06-21 22:24:14,173,sms,115,"Cantt PS Tower, Gorakhpur"
UP-CDR-000071,UP00381,Chhotu Gurjar,7007000381,UP00438,Satish Jaiswal,9415000438,2024-06-07 10:40:05,159,voice,325,"Sikandra PS Tower, Agra"
UP-CDR-000072,UP00270,Bablu Ansari,8840000270,UP00049,Virendra Tyagi,9719000049,2024-08-23 17:49:57,236,voice,815,"Izzatnagar PS Tower, Bareilly"
UP-CDR-000073,UP00316,Satish Pal,7007000316,UP00546,Chhotu Rawat,9125000546,2024-03-13 04:15:06,73,voice,1194,"Nawabad PS Tower, Jhansi"
UP-CDR-000074,UP00031,Imran Tomar,7500000031,UP00198,Tariq Bind,9837000198,2024-06-04 06:03:10,156,sms,199,"Mahanagar PS Tower, Lucknow"
UP-CDR-000075,UP00459,Alok Chauhan,7500000459,UP00535,Mahesh Srivastav,9839000535,2024-06-01 06:23:16,153,voice,1053,"Katra PS Tower, Prayagraj"
UP-CDR-000076,UP00434,Brijesh Srivastav,9839000434,UP00594,Alok Gurjar,9450000594,2024-06-22 06:19:30,174,voice,334,"Rakabganj PS Tower, Agra"
UP-CDR-000077,UP02391,Ravindra Tyagi,9719002391,UP00052,Amit Yadav,9125000052,2024-02-23 16:17:58,54,voice,440,"Brahmpuri PS Tower, Meerut"
UP-CDR-000078,UP01387,Amit Tiwari,7007001387,UP01144,Bablu Gurjar,9839001144,2024-01-12 10:16:14,12,voice,649,"Cantt PS Tower, Varanasi"
UP-CDR-000079,UP00154,Santosh Gupta,9927000154,UP00066,Sanjay Nishad,9415000066,2024-03-24 08:35:07,84,sms,1097,"Etmadpur PS Tower, Agra"
UP-CDR-000080,UP00337,Ravindra Pal,7007000337,UP00296,Imran Bind,9415000296,2024-02-18 03:08:14,49,sms,497,"Knowledge Park PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000081,UP00001,Rajesh Rajput,9125000001,UP00403,Imran Verma,9839000403,2024-02-07 20:23:06,38,voice,411,"Shivpur PS Tower, Varanasi"
UP-CDR-000082,UP00033,Aslam Tomar,9412000033,UP00271,Atiq Yadav,9719000271,2024-07-29 00:38:51,211,voice,517,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000083,UP00121,Anil Tiwari,9412000121,UP00363,Munna Tomar,8006000363,2024-03-13 10:45:32,73,sms,412,"Barra PS Tower, Kanpur Nagar"
UP-CDR-000084,UP00500,Vikram Gurjar,8840000500,UP00541,Sonu Tiwari,9415000541,2024-05-22 03:43:21,143,voice,349,"Kotwali PS Tower, Ghaziabad"
UP-CDR-000085,UP00111,Deepak Yadav,9415000111,UP00347,Babloo Tripathi,8006000347,2024-03-08 06:40:56,68,voice,438,"Partapur PS Tower, Meerut"
UP-CDR-000086,UP00247,Vikram Khan,9125000247,UP00370,Neeraj Chaudhary,9719000370,2024-05-12 23:23:42,133,sms,548,"Gorakhnath PS Tower, Gorakhpur"
UP-CDR-000087,UP00152,Sonu Rajput,9837000152,UP00186,Sunil Rajput,9839000186,2024-03-09 02:46:27,69,voice,992,"Kotwali PS Tower, Ayodhya"
UP-CDR-000088,UP00552,Abhay Khan,9450000552,UP00215,Guddu Khan,9927000215,2024-07-20 03:11:28,202,voice,379,"Sadar Bazar PS Tower, Meerut"
UP-CDR-000089,UP00547,Aslam Dubey,8006000547,UP00527,Suresh Pandey,8006000527,2024-04-29 02:33:42,120,voice,562,"Civil Lines PS Tower, Prayagraj"
UP-CDR-000090,UP00083,Anil Mishra,7007000083,UP00305,Abhay Tyagi,9927000305,2024-08-23 00:59:25,236,voice,791,"Collectorganj PS Tower, Kanpur Nagar"
UP-CDR-000091,UP00814,Ajay Qureshi,9415000814,UP00001,Rajesh Rajput,9125000001,2024-07-09 17:49:05,191,voice,571,"Ramgarh Tal PS Tower, Gorakhpur"
UP-CDR-000092,UP02844,Manoj Pal,7500002844,UP00868,Rakesh Tripathi,8840000868,2024-02-06 14:48:13,37,voice,1041,"Shahpur PS Tower, Gorakhpur"
UP-CDR-000093,UP00091,Rakesh Pal,9125000091,UP00148,Pappu Gupta,9839000148,2024-03-05 12:58:25,65,voice,713,"Sigra PS Tower, Varanasi"
UP-CDR-000094,UP00518,Babloo Bind,9125000518,UP00328,Atiq Chauhan,9927000328,2024-06-05 19:50:28,157,voice,997,"Kotwali PS Tower, Ghaziabad"
UP-CDR-000095,UP01546,Mahesh Tyagi,9837001546,UP00031,Imran Tomar,7500000031,2024-08-12 02:48:24,225,voice,798,"Kareli PS Tower, Prayagraj"
UP-CDR-000096,UP00109,Satish Ansari,9839000109,UP00194,Santosh Jaiswal,7500000194,2024-01-29 05:26:13,29,voice,499,"Subhash Nagar PS Tower, Bareilly"
UP-CDR-000097,UP01094,Pankaj Ansari,9839001094,UP02452,Vikram Jaiswal,9125002452,2024-06-13 04:21:33,165,voice,113,"Kareli PS Tower, Prayagraj"
UP-CDR-000098,UP00139,Manoj Bind,9927000139,UP00473,Chhotu Srivastav,9415000473,2024-04-02 03:22:59,93,voice,414,"Chowk PS Tower, Lucknow"
UP-CDR-000099,UP02246,Rizwan Pandey,9415002246,UP01141,Sonu Mishra,9927001141,2024-07-03 19:57:53,185,voice,1165,"Govind Nagar PS Tower, Kanpur Nagar"
UP-CDR-000100,UP00275,Sanjay Ansari,9837000275,UP00214,Imran Yadav,9450000214,2024-07-12 17:23:19,194,voice,1112,"Subhash Nagar PS Tower, Bareilly"
UP-CDR-000101,UP01520,Alok Tripathi,9125001520,UP01894,Ajay Tiwari,8840001894,2024-03-13 09:22:59,73,voice,291,"Dhoomanganj PS Tower, Prayagraj"
UP-CDR-000102,UP00540,Ramesh Khan,9839000540,UP00595,Aslam Maurya,8840000595,2024-07-10 16:00:33,192,voice,907,"Kotwali PS Tower, Kanpur Nagar"
UP-CDR-000103,UP00247,Vikram Khan,9125000247,UP00545,Ravindra Qureshi,9719000545,2024-07-23 18:43:03,205,sms,102,"Tiwaripur PS Tower, Gorakhpur"
UP-CDR-000104,UP02787,Dhananjay Rawat,9839002787,UP01452,Virendra Verma,9415001452,2024-01-04 13:14:23,4,voice,375,"Raunahi PS Tower, Ayodhya"
UP-CDR-000105,UP00276,Alok Gupta,7500000276,UP00077,Suresh Khan,8006000077,2024-05-19 05:50:01,140,sms,121,"Sihani Gate PS Tower, Ghaziabad"
UP-CDR-000106,UP00420,Munna Yadav,7007000420,UP01763,Neeraj Ansari,7007001763,2024-08-10 16:48:25,223,voice,654,"Baradari PS Tower, Bareilly"
UP-CDR-000107,UP00570,Mahesh Bind,8006000570,UP00445,Manoj Chauhan,9412000445,2024-07-22 01:42:01,204,voice,810,"Raunahi PS Tower, Ayodhya"
UP-CDR-000108,UP01563,Gufran Siddiqui,9719001563,UP02663,Bablu Siddiqui,9125002663,2024-07-06 00:42:47,188,voice,151,"Sikandra PS Tower, Agra"
UP-CDR-000109,UP02121,Dhananjay Yadav,7007002121,UP02578,Babloo Nishad,8840002578,2024-07-02 15:07:26,184,voice,238,"Kareli PS Tower, Prayagraj"
UP-CDR-000110,UP00632,Vikram Kushwaha,7007000632,UP00023,Sanjay Jaiswal,8006000023,2024-06-03 09:12:01,155,voice,1109,"Nawabad PS Tower, Jhansi"
UP-CDR-000111,UP02939,Vikram Chauhan,9719002939,UP02001,Aslam Khan,9450002001,2024-01-08 12:50:06,8,sms,1051,"Ramgarh Tal PS Tower, Gorakhpur"
UP-CDR-000112,UP00177,Imran Srivastav,8006000177,UP00282,Tariq Dubey,9450000282,2024-05-23 09:22:48,144,voice,1072,"Govind Nagar PS Tower, Kanpur Nagar"
UP-CDR-000113,UP00291,Rakesh Rawat,8840000291,UP00247,Vikram Khan,9125000247,2024-08-07 04:35:24,220,voice,882,"Sector 24 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000114,UP00356,Alok Gautam,9837000356,UP00253,Mahesh Chaudhary,9927000253,2024-03-06 23:38:19,66,sms,576,"Ramgarh Tal PS Tower, Gorakhpur"
UP-CDR-000115,UP00286,Abhay Jaiswal,9837000286,UP00151,Dharmendra Nishad,8840000151,2024-04-18 19:12:10,109,voice,145,"Sector 20 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000116,UP00256,Alok Pandey,9450000256,UP00293,Imran Singh,9839000293,2024-01-22 14:30:53,22,voice,982,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000117,UP00186,Sunil Rajput,9839000186,UP00290,Pramod Yadav,9839000290,2024-08-18 18:43:05,231,voice,937,"Hazratganj PS Tower, Lucknow"
UP-CDR-000118,UP00201,Chhotu Maurya,9839000201,UP00484,Dhananjay Nishad,9450000484,2024-01-08 10:42:53,8,voice,463,"Naini PS Tower, Prayagraj"
UP-CDR-000119,UP00448,Babloo Pandey,9412000448,UP00055,Pappu Pandey,8840000055,2024-02-08 16:32:10,39,sms,273,"Kotwali PS Tower, Jhansi"
UP-CDR-000120,UP00271,Atiq Yadav,9719000271,UP00384,Dharmendra Singh,9927000384,2024-03-07 17:05:59,67,sms,1090,"Kotwali PS Tower, Ghaziabad"
UP-CDR-000121,UP00440,Guddu Mishra,9450000440,UP00133,Anil Nishad,9837000133,2024-04-10 06:21:00,101,voice,1141,"Sipri Bazar PS Tower, Jhansi"
UP-CDR-000122,UP00156,Imran Verma,9927000156,UP00369,Sonu Gautam,9125000369,2024-03-01 00:46:34,61,voice,110,"Shahpur PS Tower, Gorakhpur"
UP-CDR-000123,UP00077,Suresh Khan,8006000077,UP00320,Ramesh Nagar,9415000320,2024-04-10 22:01:03,101,voice,103,"Sikandra PS Tower, Agra"
UP-CDR-000124,UP00463,Suresh Tripathi,9837000463,UP00547,Aslam Dubey,8006000547,2024-02-15 11:48:02,46,voice,219,"Chetganj PS Tower, Varanasi"
UP-CDR-000125,UP01867,Munna Srivastav,7007001867,UP00118,Tariq Qureshi,8840000118,2024-05-22 19:09:54,143,voice,651,"Sector 20 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000126,UP00460,Brijesh Nagar,7500000460,UP00551,Rajesh Gupta,7500000551,2024-01-19 00:02:06,19,voice,543,"Subhash Nagar PS Tower, Bareilly"
UP-CDR-000127,UP00202,Pramod Tiwari,8840000202,UP00406,Satish Shukla,7007000406,2024-04-29 21:54:17,120,voice,629,"Dhoomanganj PS Tower, Prayagraj"
UP-CDR-000128,UP00032,Babloo Tomar,9125000032,UP00264,Imran Gupta,9450000264,2024-03-02 09:24:01,62,voice,528,"Kotwali PS Tower, Ayodhya"
UP-CDR-000129,UP00267,Aslam Rawat,9125000267,UP00181,Sanjay Yadav,9837000181,2024-07-29 19:44:28,211,voice,356,"Sikandra PS Tower, Agra"
UP-CDR-000130,UP00093,Abhay Nishad,9450000093,UP00376,Gufran Pal,9415000376,2024-01-30 03:17:58,30,voice,1031,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000131,UP00954,Santosh Jaiswal,9125000954,UP01713,Guddu Khan,9839001713,2024-06-16 16:30:21,168,sms,198,"Gorakhnath PS Tower, Gorakhpur"
UP-CDR-000132,UP00121,Anil Tiwari,9412000121,UP00412,Atiq Qureshi,9927000412,2024-01-31 06:20:59,31,voice,905,"Subhash Nagar PS Tower, Bareilly"
UP-CDR-000133,UP00148,Pappu Gupta,9839000148,UP00365,Brijesh Yadav,9927000365,2024-08-14 20:09:33,227,voice,1003,"Raunahi PS Tower, Ayodhya"
UP-CDR-000134,UP00127,Akhilesh Pandey,9125000127,UP00028,Akhilesh Kushwaha,9125000028,2024-03-07 02:05:35,67,voice,724,"Kavi Nagar PS Tower, Ghaziabad"
UP-CDR-000135,UP00195,Pramod Siddiqui,9927000195,UP00039,Deepak Bind,9415000039,2024-03-23 05:03:49,83,voice,968,"Kotwali PS Tower, Jhansi"
UP-CDR-000136,UP00300,Aslam Dubey,9125000300,UP00820,Anil Rajput,7500000820,2024-05-02 02:52:44,123,voice,220,"Shahganj PS Tower, Agra"
UP-CDR-000137,UP00357,Amit Shukla,9719000357,UP00190,Pappu Rawat,9415000190,2024-08-11 01:46:42,224,voice,851,"Gorakhnath PS Tower, Gorakhpur"
UP-CDR-000138,UP00473,Chhotu Srivastav,9415000473,UP00168,Ravindra Srivastav,9412000168,2024-01-21 11:42:48,21,voice,701,"Tajganj PS Tower, Agra"
UP-CDR-000139,UP00589,Babloo Pandey,8006000589,UP00139,Manoj Bind,9927000139,2024-03-18 12:51:37,78,voice,343,"Kotwali PS Tower, Gorakhpur"
UP-CDR-000140,UP00489,Pramod Srivastav,7007000489,UP00511,Munna Jaiswal,8840000511,2024-04-26 19:09:55,117,voice,1080,"Prem Nagar PS Tower, Jhansi"
UP-CDR-000141,UP00092,Vikram Rawat,7007000092,UP01752,Tariq Tyagi,7007001752,2024-05-22 00:50:34,143,voice,1107,"Hazratganj PS Tower, Lucknow"
UP-CDR-000142,UP00055,Pappu Pandey,8840000055,UP00233,Pappu Tripathi,9839000233,2024-01-05 16:54:01,5,sms,521,"Kareli PS Tower, Prayagraj"
UP-CDR-000143,UP00592,Guddu Gurjar,8006000592,UP00463,Suresh Tripathi,9837000463,2024-02-06 12:00:20,37,voice,891,"Gomti Nagar PS Tower, Lucknow"
UP-CDR-000144,UP01146,Suresh Srivastav,9719001146,UP02026,Babloo Yadav,8840002026,2024-02-18 07:59:15,49,voice,488,"Knowledge Park PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000145,UP02138,Neeraj Gurjar,9415002138,UP02290,Babloo Yadav,9450002290,2024-02-23 11:43:40,54,voice,663,"Cantt PS Tower, Varanasi"
UP-CDR-000146,UP00288,Bablu Qureshi,9719000288,UP00195,Pramod Siddiqui,9927000195,2024-08-19 06:10:42,232,voice,1198,"Bhelupur PS Tower, Varanasi"
UP-CDR-000147,UP00569,Neeraj Qureshi,8006000569,UP00512,Dhananjay Srivastav,9412000512,2024-02-06 09:15:08,37,voice,265,"Kotwali PS Tower, Gorakhpur"
UP-CDR-000148,UP01318,Neeraj Pandey,9839001318,UP00685,Neeraj Singh,9450000685,2024-02-02 01:47:55,33,sms,873,"Nawabad PS Tower, Jhansi"
UP-CDR-000149,UP00079,Pramod Gautam,9450000079,UP00346,Tariq Verma,9719000346,2024-04-21 18:04:42,112,voice,37,"Gorakhnath PS Tower, Gorakhpur"
UP-CDR-000150,UP00600,Imran Chaudhary,7007000600,UP00126,Tariq Pandey,8840000126,2024-02-21 21:11:04,52,voice,922,"Sipri Bazar PS Tower, Jhansi"
UP-CDR-000151,UP00247,Vikram Khan,9125000247,UP00321,Imran Dubey,8006000321,2024-01-16 05:47:29,16,voice,126,"Brahmpuri PS Tower, Meerut"
UP-CDR-000152,UP00398,Manoj Nishad,7007000398,UP00576,Babloo Shukla,9450000576,2024-02-20 12:20:57,51,voice,608,"Sihani Gate PS Tower, Ghaziabad"
