master_id,merged_ids,method,confidence,name_score,phone_score,context_score,source_id,source_type,evidence_snippet,evidence_hash
KK00091,मोरे,fuzzy_translit(name:100/100=1.000+phone:0.0*0.04+ctx:1.0*0.02=1.000),1.0,100.0,0.0,1.0,KK-FIR-0008,fir,में पंजीकृत। अभियुक्त प्रकाश मोरे के विरुद्ध NDPS Act Sec 21(c),4ae68e46081556a2
KK00014,Accused Anil Tandel,fuzzy(name:73/100=0.733+phone:0.0*0.04+ctx:1.0*0.02=0.753),0.753,73.3,0.0,1.0,KK-FIR-0096,fir,"rotection money from traders. Accused Anil Tandel, Balkrishna Shaikh were ident",53a8c8dbf26570d0
KK00021,Accused Santosh Bhandari,fuzzy(name:80/100=0.800+phone:0.0*0.04+ctx:1.0*0.02=0.820),0.82,80.0,0.0,1.0,KK-FIR-0088,fir,"rotection money from traders. Accused Santosh Bhandari, Nilesh Parekh were identifie",edd27a72ad310e69
KK00087,Accused Rafiq Deshmukh,fuzzy(name:78/100=0.778+phone:0.0*0.04+ctx:1.0*0.02=0.798),0.798,77.8,0.0,1.0,KK-FIR-0053,fir,"rotection money from traders. Accused Rafiq Deshmukh, Deepak Kadam, Javed Rane abs",31b4c1babce9d53b
KK00313,गणेश जाधव,fuzzy_translit(name:89/100=0.889+phone:0.0*0.04+ctx:0.5*0.02=0.899),0.899,88.9,0.0,0.5,KK-FIR-0007,fir,/ JNPT) में पंजीकृत। अभियुक्त गणेश जाधव के विरुद्ध BNS 2023 Sec 61 (C,aa53df475f35c5f0
KK00042,जाधव,fuzzy_translit(name:100/100=1.000+phone:0.0*0.04+ctx:0.8*0.02=1.000),1.0,100.0,0.0,0.8,KK-FIR-0007,fir,T) में पंजीकृत। अभियुक्त गणेश जाधव के विरुद्ध BNS 2023 Sec 61 (C,7bf393643a875820
KK00035,Shaikh,fuzzy(name:100/100=1.000+phone:0.0*0.04+ctx:0.8*0.02=1.000),1.0,100.0,0.0,0.8,KK-FIR-0087,fir,me syndicate. Accused Prakash Shaikh absconding; notice issued und,fb49bc7298563828
इम्तियाज़ शेख,candidate->KK00248 score 79.2,fuzzy_reject(name:77/100=0.769+phone:0.0*0.04+ctx:0.5*0.02=0.779),0.5,76.9,0.0,0.5,KK-FIR-0006,fir,tnagiri में पंजीकृत। अभियुक्त इम्तियाज़ शेख के विरुद्ध Maharashtra Police,294685870023f7d6
KK00039,Accused Ravindra Bhosale,fuzzy(name:80/100=0.800+phone:0.0*0.04+ctx:1.0*0.02=0.820),0.82,80.0,0.0,1.0,KK-FIR-0074,fir,"oceeds of crime as untainted. Accused Ravindra Bhosale, Kishor Sanghvi were identifi",c6088b18f4142d33
Harnai,candidate->KK00401 score 79.2,fuzzy_reject(name:55/100=0.545+phone:0.0*0.04+ctx:0.5*0.02=0.555),0.5,54.5,0.0,0.5,KK-INTEL-0002,intel,Fishing vessel out of Harnai observed taking on fuel far b,69accf88f686d271
KK00318,Parekh Doshi,fuzzy(name:92/100=0.917+phone:0.0*0.04+ctx:0.5*0.02=0.927),0.927,91.7,0.0,0.5,INTEL0066,intel,"med Sahil who is connected to Parekh Doshi.""",3ec0c3a1c243908e
