record_id,person_id,name,alias,dob,prior_offences,gang_affiliation,known_address,ground_truth_flag
KK-CRIM-0083,KK00232,Ravindra Koli,Nana,1972-08-16,2024 - Arms Act Sec 25,Local-Offender,"108, near Naupada PS, Thane, Maharashtra",background
KK-CRIM-0084,KK00166,Hitesh Shah,,1983-05-08,2022 - NDPS Act Sec 21; 2023 - IPC 392 / BNS 309 (Robbery),Peripheral-Associate,"247, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0085,KK00123,Nitin Shaikh,,1971-09-21,2023 - NDPS Act Sec 21,Peripheral-Associate,"124, near MRA Marg PS, Mumbai City, Maharashtra",background
KK-CRIM-0086,KK00231,Sunil Pawar,,1993-11-16,2019 - IPC 392 / BNS 309 (Robbery); 2022 - Maharashtra Police Act Sec 122,Local-Offender,"300, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0087,KK00149,Paresh Khatib,,1993-03-07,2019 - BNS 317 (Stolen property); 2023 - Customs Act Sec 135; 2024 - BNS 308 (Extortion),Peripheral-Associate,"103, near Kurla PS, Mumbai Suburban, Maharashtra",background
KK-CRIM-0088,KK00204,Vilas Desai,Nana,1970-11-22,2020 - Customs Act Sec 135,Peripheral-Associate,"115, near Andheri PS, Mumbai Suburban, Maharashtra",background
KK-CRIM-0089,KK00268,Suhas More,,1980-07-25,2023 - Customs Act Sec 135,Local-Offender,"288, near Bund Garden PS, Pune, Maharashtra",background
KK-CRIM-0090,KK00121,Mangesh Doshi,,1999-11-16,2019 - IPC 392 / BNS 309 (Robbery); 2022 - Customs Act Sec 135,Peripheral-Associate,"329, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0091,KK00331,Nilesh Bhatkar,,1973-11-22,2019 - MCOCA 1999; 2020 - NDPS Act Sec 21; 2021 - MCOCA 1999,Local-Offender,"282, near Vartak Nagar PS, Thane, Maharashtra",background
KK-CRIM-0092,KK00269,Umesh Kulkarni,Seth,1976-12-08,2024 - Customs Act Sec 135,Local-Offender,"46, near Ghatkopar PS, Mumbai Suburban, Maharashtra",background
KK-CRIM-0093,KK00348,Jitendra Parab,,1970-05-08,2022 - Maharashtra Police Act Sec 122; 2023 - BNS 317 (Stolen property),Local-Offender,"179, near Koregaon Park PS, Pune, Maharashtra",background
KK-CRIM-0094,KK00280,Shabbir Parekh,Ustad,1986-06-11,2019 - Maharashtra Police Act Sec 122; 2020 - BNS 317 (Stolen property); 2024 - Arms Act Sec 25,Local-Offender,"100, near Kapurbawdi PS, Thane, Maharashtra",background
KK-CRIM-0095,KK00287,Jitendra Bhatkar,,1998-01-02,2021 - BNS 317 (Stolen property); 2023 - NDPS Act Sec 21,Local-Offender,"36, near Kurla PS, Mumbai Suburban, Maharashtra",background
KK-CRIM-0096,KK00378,Ravindra Sayyed,,1984-07-13,2020 - BNS 317 (Stolen property); 2021 - MCOCA 1999,Local-Offender,"19, near Faraskhana PS, Pune, Maharashtra",background
KK-CRIM-0097,KK00140,Salim Kothari,,1978-03-06,2019 - Maharashtra Police Act Sec 122,Peripheral-Associate,"43, near Guhagar PS, Ratnagiri, Maharashtra",background
KK-CRIM-0098,KK00180,Iqbal Parab,,1994-01-13,2019 - BNS 308 (Extortion); 2020 - IPC 392 / BNS 309 (Robbery); 2023 - IPC 392 / BNS 309 (Robbery),Peripheral-Associate,"240, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0099,KK00319,Bhavesh Desai,,1974-01-15,2021 - IPC 392 / BNS 309 (Robbery),Local-Offender,"234, near Wagle Estate PS, Thane, Maharashtra",background
KK-CRIM-0100,KK00186,Santosh Kadam,,1990-07-24,2019 - Customs Act Sec 135; 2023 - Arms Act Sec 25; 2024 - BNS 308 (Extortion),Peripheral-Associate,"154, near Kapurbawdi PS, Thane, Maharashtra",background
KK-CRIM-0101,KK00245,Rakesh Thakur,Bapu,1988-01-25,2019 - IPC 392 / BNS 309 (Robbery); 2020 - MCOCA 1999,Local-Offender,"195, near Kapurbawdi PS, Thane, Maharashtra",background
KK-CRIM-0102,KK00273,Javed Sanghvi,,1987-11-21,2023 - MCOCA 1999; 2024 - BNS 308 (Extortion),Local-Offender,"13, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0103,KK00164,Nitin Thakur,Ustad,1990-07-06,2021 - IPC 392 / BNS 309 (Robbery); 2022 - BNS 317 (Stolen property); 2023 - Arms Act Sec 25,Peripheral-Associate,"10, near Palghar PS, Palghar, Maharashtra",background
KK-CRIM-0104,KK00159,Hitesh Sayyed,,1977-05-04,2019 - NDPS Act Sec 21,Peripheral-Associate,"192, near Dongri PS, Mumbai City, Maharashtra",background
KK-CRIM-0105,KK00258,Rajan Shah,,1981-09-20,2021 - MCOCA 1999; 2022 - MCOCA 1999; 2023 - MCOCA 1999,Local-Offender,"235, near Andheri PS, Mumbai Suburban, Maharashtra",background
KK-CRIM-0106,KK00251,Kishor Deshmukh,,1977-06-09,2020 - NDPS Act Sec 21; 2024 - IPC 392 / BNS 309 (Robbery),Local-Offender,"190, near Rabodi PS, Thane, Maharashtra",background
KK-CRIM-0107,KK00368,Rakesh Parab,,1968-08-23,2021 - MCOCA 1999,Local-Offender,"152, near Koregaon Park PS, Pune, Maharashtra",background
KK-CRIM-0108,KK00195,Pravin Kothari,,1968-06-16,2021 - BNS 308 (Extortion); 2024 - BNS 308 (Extortion),Peripheral-Associate,"169, near Kapurbawdi PS, Thane, Maharashtra",background
